synid,class_name,urls,flickr_urls
n01627424,amphibian,1237,1158
n01730812,racer,1133,761
n01756291,sidewinder,1186,381
n02121620,cat,1485,892
n02207179,drone,531,172
n02264232,doodlebug,1116,361
n02378969,hack,1413,974
n02382132,hack,709,418
n02382204,hack,1296,1050
n02384858,racer,32,18
n02385002,finisher,240,7
n02386224,hackney,1118,48
n02619861,sleeper,364,27
n02666501,abandoned ship,539,468
n02686121,airbus,1453,1058
n02686568,aircraft,1510,929
n02687172,aircraft carrier,1321,656
n02690373,airliner,1227,1052
n02691156,airplane,1434,613
n02692877,airship,1247,662
n02693413,air-to-air missile,285,80
n02693540,air-to-ground missile,58,7
n02701002,ambulance,1510,851
n02704645,amphibian,782,140
n02704792,amphibian,1267,689
n02712643,angledozer,148,3
n02716626,antiballistic missile,262,2
n02729222,applecart,5,1
n02737351,ark,119,93
n02739889,armored car,1058,418
n02740061,armored car,37,16
n02740300,armored personnel carrier,1594,615
n02740533,armored vehicle,1221,674
n02749292,assault gun,23,8
n02755529,attack submarine,1014,228
n02759387,autogiro,1333,420
n02766534,baby buggy,1291,596
n02775039,baggage car,918,269
n02781338,ballistic missile,727,112
n02782093,balloon,1240,758
n02784124,banana boat,1304,798
n02787120,bandwagon,37,21
n02792409,bareboat,919,168
n02792552,barge,890,588
n02793199,bark,1154,642
n02794474,barouche,370,271
n02794972,barrage balloon,180,37
n02797295,barrow,1337,1022
n02804414,bassinet,1225,818
n02804515,bassinet,1158,718
n02811618,battle cruiser,577,60
n02812201,battleship,1185,757
n02814533,beach wagon,1366,958
n02831335,berlin,1177,842
n02834778,bicycle,1344,1009
n02835271,bicycle-built-for-two,1214,814
n02842573,biplane,1386,1010
n02843029,birchbark canoe,711,100
n02850950,blimp,1110,605
n02854630,bloodmobile,331,75
n02858304,boat,1204,631
n02859729,boat train,60,21
n02860847,bobsled,1275,659
n02861022,bobsled,1116,468
n02863638,bogy,3,1
n02867715,bomber,1265,672
n02869563,boneshaker,487,311
n02871314,bookmobile,1085,539
n02878222,bottom,1180,895
n02885108,boxcar,1307,879
n02901259,brig,596,492
n02901377,brig,617,295
n02901620,brigantine,304,102
n02907296,brougham,100,5
n02909706,buckboard,118,39
n02912557,buggy,1132,713
n02916179,bulldozer,1455,596
n02916350,bullet,1139,410
n02917067,bullet train,1205,927
n02918455,bumboat,397,269
n02918964,bumper car,1426,1050
n02924116,bus,1338,1286
n02929923,buzz bomb,102,36
n02930766,cab,1326,1176
n02931013,cab,2,1
n02931148,cab,1397,544
n02932523,cabin car,1214,920
n02932891,cabin cruiser,1287,264
n02933750,cabin liner,17,3
n02937336,caisson,2,1
n02946348,camper,1817,755
n02946509,camper trailer,1194,710
n02947660,canal boat,1338,934
n02951358,canoe,1138,609
n02957755,capsule,507,248
n02958343,car,1307,867
n02959942,car,1180,888
